app_id,title,release_date,genres,categories,developer_id,publisher_id,original_price
400,Portal,2007-10-10,Action,"Single-player, Steam Achievements, Captions available, Includes level editor, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",22973,18953,"28,8"
620,Portal 2,2011-04-18,"Action, Adventure","Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Includes level editor, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",22973,18953,"57,6"
2100,Dark Messiah of Might & Magic,2006-10-25,"Action, RPG","Single-player, Valve Anti-Cheat enabled, Family Sharing",1514,18671,"14,94"
3020,Call of Juarez,2007-11-08,Action,"Single-player, Steam Trading Cards, Family Sharing",21441,17687,"29,94"
3900,Sid Meier's Civilization® IV,2006-10-25,Strategy,"Single-player, Includes level editor, Family Sharing",7449,110,"59,94"
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2014-05-14,Strategy,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",17891,15679,57
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2014-05-14,Strategy,"Single-player, Steam Cloud, Family Sharing",17891,15679,57
6910,Deus Ex: Game of the Year Edition,2007-03-29,Action,"Single-player, Family Sharing",10500,5328,"20,94"
6920,Deus Ex: Invisible War,2007-03-29,Action,"Single-player, Family Sharing",10500,5328,"20,94"
8870,BioShock Infinite,2013-03-25,Action,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",10558,110,"89,94"
8930,Sid Meier's Civilization® V,2010-09-23,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing",7449,110,"89,94"
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",2014-05-14,Strategy,"Single-player, Family Sharing",17891,15679,57
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",2008-03-07,Strategy,"Single-player, Steam Cloud, Family Sharing",17891,15679,57
11040,Sherlock Holmes - Nemesis,2008-08-07,"Adventure, RPG","Single-player, Family Sharing",7931,6485,"29,94"
11050,Dracula: Origin,2008-08-07,"Adventure, Casual","Single-player, Family Sharing",7931,6485,"29,94"
11140,Sherlock Holmes: The Awakened (2008),2009-08-06,Adventure,"Single-player, Family Sharing",7931,6485,"29,94"
11150,Sherlock Holmes: The Silver Earring,2009-08-06,Adventure,"Single-player, Family Sharing",7931,6485,"29,94"
11190,Sherlock Holmes versus Jack the Ripper,2009-12-23,"Adventure, RPG","Single-player, Steam Cloud, Family Sharing",7931,6485,"29,94"
11250,Pacific Storm,2009-06-24,"Simulation, Strategy","Single-player, Steam Trading Cards, Family Sharing",3341,5641,24
11370,Nikopol: Secrets of the Immortals,2009-07-30,"Adventure, Indie","Single-player, Family Sharing",23689,11304,15
12150,Max Payne 2: The Fall of Max Payne,2011-01-06,Action,"Single-player, Family Sharing",17902,15121,"39,12"
